"Licence Number","Licence Description","Licence Type","Licence Status","Licensee","Additional Licensee","Trading Name","Dtf Location","Start Date","Expiry Date","Council Area","Postcode","longitude","latitude"
6846,"Licensing Act 2003","Premises Licence","Granted","Mr Nadarajah Tharmarajah",NA,"T & S Food And Wine","69 Lyminster Road, Wick, LITTLEHAMPTON, West Sussex, BN17 7LF","24/11/2005",NA,NA,"BN17 7LF",-0.543384,50.823753
6847,"Licensing Act 2003","Premises Licence","Granted","Mr Aklak Uzzaman Malik",NA,"Simla Tandoori","Shop 4, Grassmere Parade, Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7NT","24/11/2005",NA,"Arun","PO22 7NT",-0.654802,50.789919
6851,"Licensing Act 2003","Premises Licence","Granted","Mr Muhammed Yousuf Islam",NA,"Passage To India","15 The Square, Barnham, BOGNOR REGIS, West Sussex, PO22 0HB","24/11/2005",NA,NA,"PO22 0HB",-0.640548,50.832048
6853,"Licensing Act 2003","Premises Licence","Granted","Barnham Trading Post Ltd",NA,"Barnham Trading Post","BARNHAM TRADING POST, Barnham Road, Eastergate, BOGNOR REGIS, West Sussex, PO22 0ES","24/11/2005",NA,NA,"PO22 0ES",-0.640368,50.831659
6856,"Licensing Act 2003","Premises Licence","Granted","Ferring Parish Council",NA,"Ferring Village Hall","Village Hall, 90, Ferring Street, Ferring, Worthing, West Sussex, BN12 5JP","24/11/2005",NA,NA,"BN12 5JP",-0.446761,50.815475
6860,"Licensing Act 2003","Premises Licence","Granted","Mr Aslan Bozyigit",NA,"Best Kebab And Burger Bar","12 Beach Road, Littlehampton, West Sussex, BN17 5HT","24/11/2005",NA,"Arun","BN17 5HT",-0.540335,50.808625
6879,"Licensing Act 2003","Premises Licence","Granted","Management Committee",NA,"Clapham & Patching Village Hall","Clapham And Patching Village Hall, Long Furlong, Patching, Worthing, West Sussex, BN13 3UT","08/08/2012",NA,NA,"BN13 3UT",-0.449706,50.843896
6881,"Licensing Act 2003","Premises Licence","Granted","Mr Prajay Patel",NA,"Arundel Park Hotel","Arundel Park Hotel, The Causeway, Arundel, West Sussex, BN18 9JL","24/11/2005",NA,NA,"BN18 9JL",-0.547679,50.849176
6884,"Licensing Act 2003","Premises Licence","Granted","DPSK Ltd",NA,"Domino's Pizzas","19 Station Road, Bognor Regis, West Sussex, PO21 1QD","31/07/2015",NA,NA,"PO21 1QD",-0.675957,50.785853
6889,"Licensing Act 2003","Premises Licence","Granted","Mr E Rahman & Mr N Islam",NA,"Reema","130 Sea Road, East Preston, Littlehampton, West Sussex, BN16 1NN","24/04/2017",NA,"Arun","BN16 1NN",-0.48183,50.805117
6907,"Licensing Act 2003","Premises Licence","Granted","Mrs C S Barnes",NA,"Pagham Beach Club","The Pagham Club, 2, West Front Road, Pagham, Bognor Regis, West Sussex, PO21 4SY","03/12/2015",NA,"Arun","PO21 4SY",-0.738574,50.767428
6909,"Licensing Act 2003","Premises Licence","Surrendered","Mrs J F Penticost & Mr S J Penticost",NA,"Burpham Country House","BURPHAM COUNTRY HOUSE, The Street, Burpham, ARUNDEL, West Sussex, BN18 9RJ","24/11/2005",NA,NA,"BN18 9RJ",-0.520629,50.871229
6910,"Licensing Act 2003","Premises Licence","Granted","Mr Muhib Miah",NA,"India Gate","3 - 5 Mill Lane, ARUNDEL, West Sussex, BN18 9AH","10/03/2014",NA,NA,"BN18 9AH",-0.553259,50.854489
6912,"Licensing Act 2003","Premises Licence","Granted","Rustington Church Hall",NA,"Rustington Hall","ST PETER AND SAINT PAULS CHURCH HALL, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3NL","24/11/2005",NA,NA,"BN16 3NL",-0.509339,50.810346
6917,"Licensing Act 2003","Premises Licence","Granted","Mr Naresh Pendkar",NA,"Subway","21 High Street, BOGNOR REGIS, West Sussex, PO21 1RS","18/07/2016",NA,NA,"PO21 1RS",-0.673295,50.783152
6925,"Licensing Act 2003","Premises Licence","Granted","Ms Sue Holland",NA,"Oakhurst Gardens Social Club","RUSTINGTON HALL NURSING HOME, Station Road, Rustington, LITTLEHAMPTON, West Sussex, BN16 3AY","09/11/2010",NA,NA,"BN16 3AY",-0.494101,50.812345
6942,"Licensing Act 2003","Premises Licence","Granted","Mr Sithar Miah",NA,"New Tandoori Gate Ltd","58 Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7NZ","24/11/2005",NA,"Arun","PO22 7NZ",-0.654309,50.789284
6943,"Licensing Act 2003","Premises Licence","Granted","The Fire Fighters Charity",NA,"Fire Fighters Charity","THE RONNIE GREENE WING FIRE SERVICES NATIONAL BENE, MARINE COURT, Fitzalan Road, LITTLEHAMPTON, West Sussex, BN17 5NF","30/05/2014",NA,"Arun","BN17 5NF",-0.53669,50.806897
6945,"Licensing Act 2003","Premises Licence","Granted","Mr Mahir Yilmaz",NA,"Barnham Kebab & Pizza House","19 The Square, Barnham, BOGNOR REGIS, West Sussex, PO22 0HB","29/11/2010",NA,"Arun","PO22 0HB",-0.640548,50.832048
6948,"Licensing Act 2003","Premises Licence","Suspended","Zeera Lounge Ltd",NA,"Zeera Lounge","293 Chichester Road, Bersted, BOGNOR REGIS, West Sussex, PO21 5AL","02/02/2016",NA,"Arun","PO21 5AL",-0.690873,50.797326
6951,"Licensing Act 2003","Premises Licence","Granted","Sugarhiccup Ltd",NA,"Mamma Mia","31 Nyewood Lane, Aldwick, BOGNOR REGIS, West Sussex, PO21 2QB","08/09/2009",NA,NA,"PO21 2QB",-0.687783,50.78096
6973,"Licensing Act 2003","Premises Licence","Granted","Mr A Smith",NA,"St Nicholas Church","St Nicholas Parish Church, London Road, Arundel, West Sussex, BN18 9AT","27/05/2016",NA,"Arun","BN18 9AT",-0.558763,50.856409
7006,"Licensing Act 2003","Premises Licence","Granted","The Governing Body Of South Bersted C Of E School",NA,"Chartwells At South Bersted C E School","SOUTH BERSTED CHURCH OF ENGLAND PRIMARY SCHOOL, Church Lane, BOGNOR REGIS, West Sussex, PO22 9PZ","15/02/2006",NA,NA,"PO22 9PZ",-0.676578,50.796032
7013,"Licensing Act 2003","Premises Licence","Granted","Bognor Regis Methodist Church",NA,"Joyce's Pantry","BOGNOR REGIS METHODIST CHURCH, Waterloo Square, BOGNOR REGIS, West Sussex, PO21 1ST","31/01/2006",NA,NA,"PO21 1ST",-0.675698,50.78272
7027,"Licensing Act 2003","Premises Licence","Granted","Wealden Leisure Ltd",NA,"Arun Leisure Centre","ARUN LEISURE CENTRE, Felpham Way, Felpham, BOGNOR REGIS, West Sussex, PO22 8ED","01/04/2016",NA,NA,"PO22 8ED",-0.657795,50.794143
7040,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,"Langmeads Recreation Ground","RECREATION GROUND, Sea Road, East Preston, West Sussex","01/03/2006",NA,NA,"West Sussex",NA,NA
7041,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,NA,"KING GEORGE V RECREATION GROUND, Summerley Lane, Felpham, West Sussex","01/03/2006",NA,NA,"West Sussex",NA,NA
7042,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,"Sp8 Sampling Site","WEST PARK, Silverston Avenue, Aldwick, West Sussex","01/03/2006",NA,NA,"West Sussex",NA,NA
7043,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,NA,"AVISFORD RECREATION GROUND, Nyetimber Lane, Aldwick, West Sussex","01/03/2006",NA,NA,"West Sussex",NA,NA
7044,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,"Caffyns Field","CAFFYNS FIELD, St Catherines Road, Littlehampton, West Sussex","01/03/2006",NA,NA,"West Sussex",NA,NA
7045,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,NA,"STREET RECORD, The Promenade, Littlehampton, West Sussex","25/06/2013",NA,NA,"West Sussex",NA,NA
7046,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,"Hampshire Avenue Recreation Ground","HAMPSHIRE AVENUE RECREATION GROUND, Hampshire Avenue, Bognor Regis, West Sussex","01/03/2006",NA,NA,"West Sussex",NA,NA
7047,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,"Hotham Park & Band Stand","HOTHAM PARK, High Street, Bognor Regis, West Sussex","01/03/2006",NA,NA,"West Sussex",NA,NA
7049,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,NA,"JUBILEE GARDENS, Mill Road, Arundel, West Sussex","01/03/2006",NA,NA,"West Sussex",NA,NA
7050,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,"Southfields Recreation Ground","SOUTHFIELDS RECREATION GROUND, Southfields Road, Littlehampton, West Sussex","01/03/2006",NA,NA,"West Sussex",NA,NA
7051,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,NA,"BEACON BRAZIER, The Esplanade, Bognor Regis, West Sussex","01/03/2006",NA,NA,"West Sussex",NA,NA
7096,"Licensing Act 2003","Premises Licence","Granted","Mrs Rosemary Jane Appleby",NA,"Bishop Tufnell School","BISHOP TUFNELL C OF E JUNIOR AND INFANT SCHOOL, Pennyfields, Felpham, BOGNOR REGIS, West Sussex, PO22 6BN","03/04/2006",NA,NA,"PO22 6BN",-0.635331,50.794972
7207,"Licensing Act 2003","Premises Licence","Granted","University Of Chichester",NA,"University College Chichester - Bognor Campus","UNIVERSITY OF CHICHESTER, Upper Bognor Road, BOGNOR REGIS, West Sussex, PO21 1HR","16/05/2017",NA,"Arun","PO21 1HR",-0.665297,50.788565
7209,"Licensing Act 2003","Premises Licence","Granted","Mr Fook Seaw",NA,"Penang Village","106 Sea Road, East Preston, Littlehampton, West Sussex, BN16 1NN","12/06/2006",NA,NA,"BN16 1NN",-0.48183,50.805117
7348,"Licensing Act 2003","Premises Licence","Granted","Westergate Community School Campus",NA,"Westergate Community School / Ormiston Academy","ORMISTON SIX VILLAGES ACADEMY, Lime Avenue, Aldingbourne, CHICHESTER, West Sussex, PO20 3UE","18/08/2006",NA,NA,"PO20 3UE",-0.664083,50.840602
7461,"Licensing Act 2003","Premises Licence","Granted","Mrs T H Jago",NA,"Elm Grove Road County Infants","Littlehampton Day Nursery, Elm Grove Road, Littlehampton, West Sussex, BN17 6AH","17/10/2006",NA,NA,"BN17 6AH",-0.532079,50.813449
7515,"Licensing Act 2003","Premises Licence","Suspended","Mr Allaeddin Saidee",NA,"Mace Express","1, Houghton House, Kimberry, Littlehampton, West Sussex, BN17 7JD","22/04/2015",NA,"Arun","BN17 7JD",-0.553914,50.82026
7558,"Licensing Act 2003","Premises Licence","Granted","The Governing Body",NA,"Walberton Binsted C Of E P School","WALBERTON AND BINSTEAD CHURCH OF ENGLAND SCHOOL, The Street, Walberton, ARUNDEL, West Sussex, BN18 0PH","17/11/2006",NA,NA,"BN18 0PH",-0.621247,50.845905
7681,"Licensing Act 2003","Premises Licence","Granted","Haskins Garden Centres Limited",NA,"Haskins Roundstone Garden Centre","HASKINS ROUNDSTONE, Roundstone-by-pass, Angmering, LITTLEHAMPTON, West Sussex, BN16 4BD","06/12/2010",NA,NA,"BN16 4BD",-0.473324,50.819306
7719,"Licensing Act 2003","Premises Licence","Granted","Arun Community Church",NA,"Wickbourne Centre Refresh Trading Ltd","THE WICKBOURNE CENTRE, Clun Road, Wick, LITTLEHAMPTON, West Sussex, BN17 7DZ","08/03/2007",NA,NA,"BN17 7DZ",-0.547108,50.814186
7784,"Licensing Act 2003","Premises Licence","Granted","Bognor Regis Town Council",NA,"Bognor Regis Town Council","STREET RECORD, London Road, Bognor Regis, West Sussex","21/04/2016",NA,NA,"West Sussex",NA,NA
7869,"Licensing Act 2003","Premises Licence","Granted","Baker & Burns Ltd",NA,"Honeypot Cafe","19 Sea Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 2RD","07/04/2015",NA,NA,"BN16 2RD",-0.510787,50.809879
7942,"Licensing Act 2003","Premises Licence","Granted","Mr Rachen Norraphuthon",NA,"Bangkok Lounge","73 High Street, BOGNOR REGIS, West Sussex, PO21 1RZ","11/04/2013",NA,NA,"PO21 1RZ",-0.67549,50.782547
7947,"Licensing Act 2003","Premises Licence","Granted","Mr N K J Patel & Mrs S M Patel",NA,"Walberton News","1, MAPLE PARADE SHOPS, The Street, Walberton, ARUNDEL, West Sussex, BN18 0PR","15/03/2011",NA,NA,"BN18 0PR",-0.619244,50.844685
8011,"Licensing Act 2003","Premises Licence","Granted","Mr Pradipkumar Patel",NA,"The Cabin","1A, NORFOLK HOUSE, Beach Road, LITTLEHAMPTON, West Sussex, BN17 5HZ","20/09/2007",NA,NA,"BN17 5HZ",-0.540254,50.808947
8198,"Licensing Act 2003","Premises Licence","Granted","Mr Pragneshkumar Patel",NA,"The Corner Store","39 - 41 Horsham Road, LITTLEHAMPTON, West Sussex, BN17 6DB","21/01/2014",NA,NA,"BN17 6DB",-0.530708,50.814178
8328,"Licensing Act 2003","Premises Licence","Granted","Mr D M Sulimierski",NA,"Queensway","16 Queensway, Bognor Regis, West Sussex, PO21 1QT","18/03/2016",NA,"Arun","PO21 1QT",-0.67573,50.783601
8334,"Licensing Act 2003","Premises Licence","Granted","Arun District Council",NA,"Mewsbrook Park Boating Kiosk","MEWSBROOK PARK, Hendon Avenue, Littlehampton, West Sussex","01/04/2008",NA,NA,"West Sussex",NA,NA
8337,"Licensing Act 2003","Premises Licence","Granted","Mr Jamie Hawkins",NA,"Coastal Coffee Co Ltd","2, CHURCHILL PARADE, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3DJ","03/04/2008",NA,NA,"BN16 3DJ",-0.507549,50.810818
8483,"Licensing Act 2003","Premises Licence","Suspended","Hammerpot Brewery Ltd",NA,"Hammerpot Brewery Ltd","UNIT, 30, THE VINERY, Arundel Road, Poling, ARUNDEL, West Sussex, BN18 9PY","29/07/2008",NA,"Arun","BN18 9PY",-0.508064,50.840233
8744,"Licensing Act 2003","Premises Licence","Granted","Ms S Elliott",NA,"Partners Cafe","25A - 25B High Street, Arundel, West Sussex, BN18 9AD","16/03/2009",NA,NA,"BN18 9AD",-0.55358,50.854025
8897,"Licensing Act 2003","Premises Licence","Granted","North Bersted Youth & Communit",NA,"North Bersted Youth & Community Centre","14 North Bersted Street, Bersted, BOGNOR REGIS, West Sussex, PO22 9AD","10/07/2009",NA,NA,"PO22 9AD",-0.691503,50.801469
8958,"Licensing Act 2003","Premises Licence","Granted","Angmering Community Ctr Assc",NA,"Angmering Community Centre","ANGMERING COMMUNITY CENTRE, Foxwood Avenue, Angmering, LITTLEHAMPTON, West Sussex, BN16 4FU","31/07/2009",NA,"Arun","BN16 4FU",-0.481134,50.82483
9139,"Licensing Act 2003","Premises Licence","Granted","Age Uk West Sussex",NA,"Tamarisk Centre","Tamarisk Centre, 42, Beach Road, Littlehampton, West Sussex, BN17 5HT","15/09/2009",NA,NA,"BN17 5HT",-0.540335,50.808625
9140,"Licensing Act 2003","Premises Licence","Granted","Age Uk West Sussex",NA,"Laburnum Centre","LABURNUM CENTRE, Lyon Street, BOGNOR REGIS, West Sussex, PO21 1UX","15/09/2009",NA,NA,"PO21 1UX",-0.672426,50.785795
9188,"Licensing Act 2003","Premises Licence","Granted","Bognor Regis Town Football Club",NA,"Seasons","BOGNOR REGIS FOOTBALL CLUB, Nyewood Lane, BOGNOR REGIS, West Sussex, PO21 2TY","28/07/2017",NA,NA,"PO21 2TY",-0.687505,50.786362
9290,"Licensing Act 2003","Premises Licence","Surrendered","Fusion Events Group Uk Limited",NA,"Fusion Events Group Uk Ltd","2 Lennox Street, BOGNOR REGIS, West Sussex, PO21 1LZ","06/12/2017",NA,"Arun","PO21 1LZ",-0.674756,50.782656
9352,"Licensing Act 2003","Premises Licence","Granted","Divyesh Patel & Kirit Patel",NA,"Wick Newsagents","137 Wick Street, LITTLEHAMPTON, West Sussex, BN17 7JY","22/12/2009",NA,NA,"BN17 7JY",-0.544149,50.820165
9410,"Licensing Act 2003","Premises Licence","Granted","E P Tarbard",NA,"Barnham Parish Hall","BARNHAM COMMUNITY HALL, Yapton Road, Barnham, BOGNOR REGIS, West Sussex, PO22 0AY","16/01/2010",NA,NA,"PO22 0AY",-0.634887,50.828726
9665,"Licensing Act 2003","Premises Licence","Lapsed","Baltic Express Ltd",NA,"Baltic Express","4, TRUE BLUE PRECINCT, Wick Street, LITTLEHAMPTON, West Sussex, BN17 7JN","08/04/2015",NA,"Arun","BN17 7JN",-0.544365,50.818702
9683,"Licensing Act 2003","Premises Licence","Granted","L C Baxter & J Jacobs",NA,"Arundel Jailhouse","Undercroft, Town Hall, Maltravers Street, Arundel, West Sussex, BN18 9AP","06/06/2010",NA,NA,"BN18 9AP",-0.555887,50.854791
9703,"Licensing Act 2003","Premises Licence","Granted","Wickbourne County Infant School",NA,"Chartwells At White Meadows Primary Academy","White Meadows Primary School, Whitelea Road, Littlehampton, West Sussex, BN17 7JL","14/06/2010",NA,NA,"BN17 7JL",-0.545612,50.816937
9778,"Licensing Act 2003","Premises Licence","Granted","Peter Lee & Mabella Lee-Hang",NA,"Chopsticks Restaurant","9 - 11 Beach Road, LITTLEHAMPTON, West Sussex, BN17 5HZ","21/07/2010",NA,NA,"BN17 5HZ",-0.540254,50.808947
9826,"Licensing Act 2003","Premises Licence","Granted","Mr Barjindar Singh Majhail",NA,"News Plus","STORE REAR OF 9 STATION PARADE, Station Road, Rustington, West Sussex","02/08/2010",NA,"Arun","West Sussex",NA,NA
9851,"Licensing Act 2003","Premises Licence","Granted","Mr Robin Parker",NA,NA,"STREET RECORD, The Esplanade, Bognor Regis, West Sussex","03/06/2013",NA,"Arun","West Sussex",NA,NA
10000,"Licensing Act 2003","Premises Licence","Granted","Mr Chandran Sasikumar",NA,"Grande Wines Ltd","27 Nyewood Lane, Aldwick, BOGNOR REGIS, West Sussex, PO21 2QB","19/10/2017",NA,"Arun","PO21 2QB",-0.687783,50.78096
10082,"Licensing Act 2003","Premises Licence","Granted","Mr Virginijus Andriejauskas",NA,"Silas","21 Beach Road, LITTLEHAMPTON, West Sussex, BN17 5JA","21/07/2015",NA,"Arun","BN17 5JA",-0.539742,50.808536
10106,"Licensing Act 2003","Premises Licence","Granted","Mr A Noor",NA,"So India","SO INDIA RESTAURANT, THE CORNER HOUSE, Station Road, Rustington, LITTLEHAMPTON, West Sussex, BN16 3AF","07/01/2011",NA,NA,"BN16 3AF",-0.49051,50.81541
10138,"Licensing Act 2003","Premises Licence","Granted","Miss Denise Ann Bull",NA,"Local Offie","8, Wick Parade, Wick Street, Littlehampton, West Sussex, BN17 7JQ","06/02/2018",NA,NA,"BN17 7JQ",-0.544686,50.819336
10176,"Licensing Act 2003","Premises Licence","Granted","Mrs P & Mr N Ravikumar",NA,"Premier","3, THE PANTILES, Ferringham Lane, Ferring, WORTHING, West Sussex, BN12 5NE","19/01/2011",NA,NA,"BN12 5NE",-0.450057,50.808009
10218,"Licensing Act 2003","Premises Licence","Surrendered","Charles Helen & Richard Gascoigne-Pees",NA,"Gaskyns","6 Queen Street, Arundel, West Sussex, BN18 9JG","15/08/2011",NA,"Arun","BN18 9JG",-0.55206,50.853098
10227,"Licensing Act 2003","Premises Licence","Granted","Empress Leisure Ltd",NA,"Empress","THE EMPRESS, BALTIC WHARF, Pier Road, LITTLEHAMPTON, West Sussex, BN17 5AD","05/08/2013",NA,NA,"BN17 5AD",-0.543789,50.807103
10246,"Licensing Act 2003","Premises Licence","Granted","Mrs M Griggs-Harvey",NA,"Pagham Beach Cafe","1 Harbour Road, Pagham, BOGNOR REGIS, West Sussex, PO21 4SS","07/03/2011",NA,"Arun","PO21 4SS",-0.738759,50.768473
10354,"Licensing Act 2003","Premises Licence","Lapsed","Chichester Events Ltd",NA,"Knights Table","61 High Street, Arundel, West Sussex, BN18 9AJ","13/08/2018",NA,"Arun","BN18 9AJ",-0.554742,50.854777
10364,"Licensing Act 2003","Premises Licence","Granted","Mr Mark Edwin Lynch",NA,"Toast","FIRST FLOOR FLAT, 2 Norfolk Road, LITTLEHAMPTON, West Sussex, BN17 5PL","27/04/2011",NA,"Arun","BN17 5PL",-0.532107,50.804403
10418,"Licensing Act 2003","Premises Licence","Granted","Mrs Carole Ward / Clerk of the Council",NA,"Woodlands Centre","Rustington Parish Council Offices, 34, Woodlands Avenue, Rustington, Littlehampton, West Sussex, BN16 3EY","26/05/2011",NA,NA,"BN16 3EY",-0.507381,50.812542
10528,"Licensing Act 2003","Premises Licence","Granted","Jahangir Hussain",NA,"Cinnamon","2, NORFOLK HOUSE, Beach Road, LITTLEHAMPTON, West Sussex, BN17 5HY","19/09/2011",NA,"Arun","BN17 5HY",-0.540344,50.809254
10673,"Licensing Act 2003","Premises Licence","Granted","Mr Awal Mahmmued",NA,"Basmati Restaurant","BASMATI RESTAURANT, Nyton Road, Westergate, CHICHESTER, West Sussex, PO20 3UG","23/09/2011",NA,"Arun","PO20 3UG",-0.667446,50.842188
10806,"Licensing Act 2003","Premises Licence","Granted","Mrs Sharyn Ann Towers",NA,"Waterside Cafe","THE WATERSIDE, Mill Road, ARUNDEL, West Sussex, BN18 9PA","21/11/2016",NA,NA,"BN18 9PA",-0.550873,50.855196
10818,"Licensing Act 2003","Premises Licence","Granted","East Preston & Kingston Conservative Branch",NA,"Conservative Hall - East Preston","THE CONSERVATIVE CLUB, 41, Sea Road, East Preston, LITTLEHAMPTON, West Sussex, BN16 1JN","02/11/2011",NA,"Arun","BN16 1JN",-0.48049,50.810109
10835,"Licensing Act 2003","Premises Licence","Granted","Arun Sports Arena Ford Limited - Football Ltd",NA,"Arun Sports Arena Ltd","Southern Grainstore, Ford Airfield Industrial Estate, Rollaston Park, Ford, Arundel, West Sussex, BN18 0HY","18/03/2016",NA,"Arun","BN18 0HY",-0.596401,50.819159
10881,"Licensing Act 2003","Premises Licence","Granted","The Aldingbourne Trust",NA,"Aldingbourne Country Centre","Aldingbourne Country Centre, Blackmill Lane, Aldingbourne, Chichester, West Sussex, PO18 0JP","29/07/2016",NA,NA,"PO18 0JP",-0.677288,50.856563
10884,"Licensing Act 2003","Premises Licence","Suspended","Mr Colin John Bradshaw",NA,"Clock House Deli","7, THE PARADE, Willowhayne Crescent, East Preston, LITTLEHAMPTON, West Sussex, BN16 1NS","07/04/2015",NA,"Arun","BN16 1NS",-0.481002,50.805259
10954,"Licensing Act 2003","Premises Licence","Granted","Madehurst Cricket Club",NA,"Madehurst Cricket Club","THE MADEHURST BOWL, NEW BARN FARM, Madehurst Road, Madehurst, West Sussex","23/12/2011",NA,"Arun","West Sussex",NA,NA
11211,"Licensing Act 2003","Premises Licence","Granted","5th Littlehampton Sea Scouts",NA,"Gordon Hall - 5th Littlehampton Sea Scouts","SEA SCOUTS HEADQUARTERS, Lineside Way, Littlehampton, West Sussex","04/05/2012",NA,NA,"West Sussex",NA,NA
11491,"Licensing Act 2003","Premises Licence","Granted","Hasan Gulsen",NA,"Sibel's Mini Market","75 Hawthorn Road, BOGNOR REGIS, West Sussex, PO21 2BS","22/10/2012",NA,NA,"PO21 2BS",-0.683841,50.791015
11668,"Licensing Act 2003","Premises Licence","Granted","Mrs Debbie Jenkins",NA,"Classics Cafe","31 High Street, Littlehampton, West Sussex, BN17 5EG","21/11/2012",NA,NA,"BN17 5EG",-0.543474,50.809923
11694,"Licensing Act 2003","Premises Licence","Granted","South Coast Foods Ltd",NA,"Mcdonalds","1A Oldlands Way, Bersted, BOGNOR REGIS, West Sussex, PO22 9SD","21/02/2018",NA,NA,"PO22 9SD",-0.675957,50.785853
11703,"Licensing Act 2003","Premises Licence","Granted","Jeneses Limited - Jeneses Community Arts Centre",NA,"Jeneses Arts Centre","45 Linden Road, BOGNOR REGIS, West Sussex, PO21 2AP","12/11/2012",NA,"Arun","PO21 2AP",-0.678362,50.787086
11865,"Licensing Act 2003","Premises Licence","Granted","Monte Laguna Ltd",NA,"Domino's Pizza","9, Wick Parade, Wick Street, Littlehampton, West Sussex, BN17 7JQ","21/01/2013",NA,"Arun","BN17 7JQ",-0.544686,50.819336
12184,"Licensing Act 2003","Premises Licence","Surrendered","Mrs Maria Whitehouse",NA,"Sussex Heritage Centre","Sussex Heritage Centre, Sefton Place, Warningcamp, Arundel, West Sussex, BN18 9QY","19/06/2013",NA,"Arun","BN18 9QY",-0.536255,50.856229
12230,"Licensing Act 2003","Premises Licence","Granted","Mr Toby Jenkin",NA,"Long Furlong Barn","LONG FURLONG BARN, Long Furlong, Clapham, WORTHING, West Sussex, BN13 3XN","22/12/2014",NA,"Arun","BN13 3XN",-0.44111,50.856758
12253,"Licensing Act 2003","Premises Licence","Suspended","Arundel Festival Ltd - Arundel Town Council",NA,"Arundel Festival","Street Record, Mill Road, Arundel, West Sussex, BN18 9AD","15/08/2013",NA,"Arun","BN18 9AD",-0.55358,50.854025
12574,"Licensing Act 2003","Premises Licence","Granted","Ilex Inns Ltd",NA,"The Holly Tree Pub","THE HOLLY TREE INN, The Street, Walberton, ARUNDEL, West Sussex, BN18 0PH","26/09/2017",NA,"Arun","BN18 0PH",-0.621247,50.845905
12605,"Licensing Act 2003","Premises Licence","Granted","Zain PH Ltd",NA,"Pizza Hut Delivery","31 - 33 Queensway, Bognor Regis, West Sussex, PO21 1QN","30/04/2018",NA,"Arun","PO21 1QN",-0.675467,50.784112
12872,"Licensing Act 2003","Premises Licence","Granted","Arundel Museum Society Ltd",NA,"Arundel Museum & Heritage Centre","ARUNDEL MUSEUM, Mill Road, ARUNDEL, West Sussex, BN18 9PA","01/04/2014",NA,NA,"BN18 9PA",-0.550873,50.855196
12885,"Licensing Act 2003","Premises Licence","Surrendered","Mr Jayesh Dahyalal Purshottam",NA,"Jay's","47 Horsham Road, LITTLEHAMPTON, West Sussex, BN17 6DB","25/03/2014",NA,NA,"BN17 6DB",-0.530708,50.814178
12898,"Licensing Act 2003","Premises Licence","Granted","Juris Frolovs & Kristine Ayers",NA,"Cake Heaven","110 London Road, Bognor Regis, West Sussex, PO21 1BD","20/09/2017",NA,NA,"PO21 1BD",-0.673193,50.788024
12978,"Licensing Act 2003","Premises Licence","Granted","Wealden Leisure Ltd",NA,"Bersted Park Community Centre / Dizzy Ducklings","BERSTED PARK COMMUNITY CENTRE, Lakeland Avenue, Bersted, BOGNOR REGIS, West Sussex, PO21 5FF","01/04/2016",NA,NA,"PO21 5FF",-0.69062,50.807368
13032,"Licensing Act 2003","Premises Licence","Suspended","Sparks Yard General Stores Ltd",NA,"Sparks Yard General Store","SPARKS YARD, 18, Tarrant Street, ARUNDEL, West Sussex, BN18 9DJ","05/06/2014",NA,"Arun","BN18 9DJ",-0.557034,50.85369
13173,"Licensing Act 2003","Premises Licence","Granted","Out Of Bounds (Rustington) Ltd",NA,"Out Of Bounds","ACTIVITY CENTRE, RUSTINGTON GOLF CENTRE, Golfers Lane, Angmering, LITTLEHAMPTON, West Sussex, BN16 4NB","02/11/2015",NA,NA,"BN16 4NB",-0.502348,50.822245
13214,"Licensing Act 2003","Premises Licence","Granted","Mr Mm M Soni",NA,"Ferring News","96 Ferring Street, Ferring, Worthing, West Sussex, BN12 5JP","02/03/2017",NA,"Arun","BN12 5JP",-0.446761,50.815475
13367,"Licensing Act 2003","Premises Licence","Granted","Mr Mujib Rahman",NA,"So India","INDIA RAJ, 43 Felpham Way, Felpham, BOGNOR REGIS, West Sussex, PO22 8PT","16/10/2014",NA,"Arun","PO22 8PT",-0.649465,50.792474
13495,"Licensing Act 2003","Premises Licence","Granted","Sweetpeas And Honeybees Boutique Florist",NA,"Sweet Peas & Honey Bees","13A North Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 3PF","17/12/2014",NA,NA,"BN16 3PF",-0.516397,50.81335
